InvoiceNo,StockCode,Description,Quantity,UnitPrice,importe_linea,CustomerID,Country,mes_compra,dia_semana,alto_valor_transaccion
557938,21932,SCANDINAVIAN PAISLEY PICNIC BAG,1,2.46,2.46,SIN_CLIENTE,UNITED KINGDOM,6,3,0
554083,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2.95,26.55,18125,UNITED KINGDOM,5,6,1
563920,21754,HOME BUILDING BLOCK WORD,2,5.95,11.9,16407,UNITED KINGDOM,8,6,1
565995,82580,BATHROOM METAL SIGN,2,0.55,1.1,16076,UNITED KINGDOM,9,3,0
559535,22896,PEG BAG APPLES DESIGN,3,2.55,7.6499999999999995,17841,UNITED KINGDOM,7,6,0
538783,22835,HOT WATER BOTTLE I AM SO POORLY,8,4.65,37.2,14961,UNITED KINGDOM,12,1,1
550638,48194,DOORMAT HEARTS,1,15.79,15.79,SIN_CLIENTE,UNITED KINGDOM,4,1,1
556103,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,1.25,15.0,16011,UNITED KINGDOM,6,2,1
572047,21400,RED PUDDING SPOON,4,0.12,0.48,16474,UNITED KINGDOM,10,3,0
569242,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,1.25,15.0,14193,UNITED KINGDOM,10,0,1
541971,21883,STARS GIFT TAPE,1,1.63,1.63,SIN_CLIENTE,UNITED KINGDOM,1,0,0
558086,21896,POTTING SHED TWINE,1,2.1,2.1,16728,UNITED KINGDOM,6,6,0
541422,22593,CHRISTMAS GINGHAM STAR,1,1.63,1.63,SIN_CLIENTE,UNITED KINGDOM,1,0,0
544684,22545,MINI JIGSAW BUNNIES,2,0.83,1.66,SIN_CLIENTE,UNITED KINGDOM,2,1,0
560233,21901,KEY FOB BACK DOOR,2,0.65,1.3,16813,UNITED KINGDOM,7,6,0
569246,21744,SNOWFLAKE PORTABLE TABLE LIGHT,1,5.79,5.79,14096,UNITED KINGDOM,10,0,0
564902,22138,BAKING SET 9 PIECE RETROSPOT,6,4.95,29.700000000000003,18198,UNITED KINGDOM,8,2,1
538011,21181,PLEASE ONE PERSON METAL SIGN,2,2.1,4.2,14896,UNITED KINGDOM,12,3,0
571684,22810,SET OF 6 T-LIGHTS SNOWMEN,2,2.95,5.9,16730,UNITED KINGDOM,10,1,0
579002,21975,PACK OF 60 DINOSAUR CAKE CASES,2,0.55,1.1,14093,UNITED KINGDOM,11,6,0
560225,22081,RIBBON REEL FLORA FAUNA,1,3.29,3.29,SIN_CLIENTE,UNITED KINGDOM,7,4,0
571629,82583,HOT BATHS METAL SIGN,12,2.1,25.200000000000003,13362,UNITED KINGDOM,10,1,1
564572,22961,JAM MAKING SET PRINTED,12,1.45,17.4,15078,UNITED KINGDOM,8,4,1
571318,21211,SET OF 72 SKULL PAPER DOILIES,192,1.45,278.4,17404,SWEDEN,10,0,1
577544,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2.1,2.1,17758,UNITED KINGDOM,11,6,0
554992,23079,TOADSTOOL BEDSIDE LIGHT,1,8.95,8.95,16686,UNITED KINGDOM,5,6,0
557328,23285,PINK VINTAGE SPOT BEAKER,1,0.85,0.85,14646,NETHERLANDS,6,0,0
549524,21563,RED HEART SHAPE LOVE BUCKET,2,5.79,11.58,SIN_CLIENTE,UNITED KINGDOM,4,4,1
537886,22961,JAM MAKING SET PRINTED,12,1.45,17.4,15660,UNITED KINGDOM,12,3,1
540098,21067,VINTAGE RED TEATIME MUG,2,1.25,2.5,16241,UNITED KINGDOM,1,1,0
566571,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,3.25,19.5,17037,UNITED KINGDOM,9,1,1
539753,22510,GINGHAM BABUSHKA DOORSTOP,1,1.87,1.87,SIN_CLIENTE,UNITED KINGDOM,12,1,0
563036,23209,LUNCH BAG VINTAGE DOILY,10,1.65,16.5,14868,UNITED KINGDOM,8,3,1
569568,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,15.0,12700,FRANCE,10,2,1
540397,84849A,HELLO SAILOR BLUE SOAP HOLDER,1,1.69,1.69,13187,UNITED KINGDOM,1,3,0
567173,22561,WOODEN SCHOOL COLOURING SET,6,1.65,9.899999999999999,16689,UNITED KINGDOM,9,6,0
545872,22147,FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,15752,UNITED KINGDOM,3,0,0
568991,22738,RIBBON REEL SNOWY VILLAGE,5,1.65,8.25,18204,UNITED KINGDOM,9,3,0
563193,23145,ZINC T-LIGHT HOLDER STAR LARGE,2,2.08,4.16,SIN_CLIENTE,UNITED KINGDOM,8,4,0
568659,23354,6 GIFT TAGS 50 S CHRISTMAS,12,0.83,9.959999999999999,13516,UNITED KINGDOM,9,2,1
556186,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,1.25,15.0,14241,UNITED KINGDOM,6,3,1
547872,48129,DOORMAT TOPIARY,1,7.95,7.95,16777,UNITED KINGDOM,3,6,0
568146,23203,JUMBO BAG VINTAGE DOILY,10,2.08,20.8,16169,UNITED KINGDOM,9,6,1
570679,22318,FIVE HEART HANGING DECORATION,6,2.95,17.700000000000003,17769,UNITED KINGDOM,10,1,1
573195,21790,VINTAGE SNAP CARDS,12,0.85,10.2,12432,NORWAY,10,4,1
564306,15056P,EDWARDIAN PARASOL PINK,48,5.95,285.6,17865,UNITED KINGDOM,8,2,1
561515,21668,RED STRIPE CERAMIC DRAWER KNOB,2,3.29,6.58,SIN_CLIENTE,UNITED KINGDOM,7,2,0
544167,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,15.0,14755,UNITED KINGDOM,2,2,1
574053,21174,POTTERING IN THE SHED METAL SIGN,24,2.08,49.92,16379,UNITED KINGDOM,11,2,1
580050,23695,DOILY THANK YOU CARD,12,0.42,5.04,14960,UNITED KINGDOM,12,3,0
578814,22602,RETROSPOT WOODEN HEART DECORATION,4,0.85,3.4,12748,UNITED KINGDOM,11,4,0
549155,22616,PACK OF 12 LONDON TISSUES,2,0.83,1.66,SIN_CLIENTE,UNITED KINGDOM,4,2,0
566191,23235,STORAGE TIN VINTAGE LEAF,6,2.89,17.34,14388,UNITED KINGDOM,9,4,1
552675,22385,JUMBO BAG SPACEBOY DESIGN,3,4.13,12.39,SIN_CLIENTE,UNITED KINGDOM,5,1,1
552234,22994,TRAVEL CARD WALLET RETROSPOT,1,0.83,0.83,SIN_CLIENTE,UNITED KINGDOM,5,4,0
544913,85049D,BRIGHT BLUES RIBBONS,2,1.25,2.5,15543,UNITED KINGDOM,2,3,0
581126,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2.95,17.700000000000003,18272,UNITED KINGDOM,12,2,1
544457,21735,TWO DOOR CURIO CABINET,2,12.75,25.5,14667,UNITED KINGDOM,2,6,1
549543,22519,CHILDS GARDEN BRUSH PINK,2,2.1,4.2,18118,UNITED KINGDOM,4,6,0
544062,35637A,IVORY STRING CURTAIN WITH POLE,2,5.95,11.9,15311,UNITED KINGDOM,2,1,1
548874,22993,SET OF 4 PANTRY JELLY MOULDS,12,1.25,15.0,17716,UNITED KINGDOM,4,0,1
546892,22027,TEA PARTY BIRTHDAY CARD,1,0.83,0.83,SIN_CLIENTE,UNITED KINGDOM,3,3,0
580972,21705,BAG 500G SWIRLY MARBLES,24,0.39,9.36,15194,UNITED KINGDOM,12,1,0
572566,84946,ANTIQUE SILVER T-LIGHT GLASS,12,1.25,15.0,13050,UNITED KINGDOM,10,1,1
552324,21718,RED METAL BEACH SPADE,48,1.25,60.0,16672,UNITED KINGDOM,5,0,1
581219,22076,6 RIBBONS EMPIRE,7,1.25,8.75,SIN_CLIENTE,UNITED KINGDOM,12,3,0
542607,22936,BAKING MOULD ROSE WHITE CHOCOLATE,1,3.25,3.25,13148,UNITED KINGDOM,1,6,0
572192,21328,BALLOONS WRITING SET,1,1.65,1.65,18118,UNITED KINGDOM,10,4,0
567474,20705,MRS ROBOT SOFT TOY,2,6.95,13.9,13448,UNITED KINGDOM,9,1,1
560120,23247,BISCUIT TIN 50 S CHRISTMAS,6,2.89,17.34,14907,UNITED KINGDOM,7,4,1
556484,23256,CHILDRENS CUTLERY SPACEBOY,2,4.15,8.3,16938,UNITED KINGDOM,6,6,0
559418,21224,SET 4 SKULL BADGES,10,1.25,12.5,12681,FRANCE,7,4,1
559173,22842,BISCUIT TIN VINTAGE RED,2,6.75,13.5,12540,SPAIN,7,3,1
540098,22473,TV DINNER TRAY VINTAGE PAISLEY,1,4.95,4.95,16241,UNITED KINGDOM,1,1,0
570843,21174,POTTERING IN THE SHED METAL SIGN,2,2.08,4.16,17293,UNITED KINGDOM,10,2,0
541262,22241,GARLAND WOODEN HAPPY EASTER,2,1.25,2.5,18069,UNITED KINGDOM,1,6,0
556023,22386,JUMBO BAG PINK POLKADOT,6,2.08,12.48,14527,UNITED KINGDOM,6,2,1
540349,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,8.5,17.0,15379,UNITED KINGDOM,1,3,1
558540,21627,ELEPHANT CARNIVAL POUFFE,2,14.95,29.9,17706,UNITED KINGDOM,6,3,1
540995,21935,SUKI SHOULDER BAG,2,1.63,3.26,SIN_CLIENTE,UNITED KINGDOM,1,3,0
541424,22322,BIRD DECORATION GREEN POLKADOT,2,0.79,1.58,SIN_CLIENTE,UNITED KINGDOM,1,0,0
559318,22492,MINI PAINT SET VINTAGE,36,0.65,23.400000000000002,18013,UNITED KINGDOM,7,3,1
551516,22712,CARD DOLLY GIRL,24,0.42,10.08,14800,UNITED KINGDOM,5,6,1
552232,84910A,PINK PAISLEY CUSHION COVER,2,8.29,16.58,SIN_CLIENTE,UNITED KINGDOM,5,4,1
557494,21218,RED SPOTTY BISCUIT TIN,1,8.29,8.29,SIN_CLIENTE,UNITED KINGDOM,6,0,0
560566,21238,RED RETROSPOT CUP,8,0.85,6.8,12662,GERMANY,7,1,0
546913,22344,PARTY PIZZA DISH PINK POLKADOT,2,0.85,1.7,15861,UNITED KINGDOM,3,3,0
580983,22651,GENTLEMAN SHIRT REPAIR KIT,2,1.63,3.26,SIN_CLIENTE,UNITED KINGDOM,12,1,0
576359,85099C,JUMBO BAG BAROQUE BLACK WHITE,100,1.79,179.0,14680,UNITED KINGDOM,11,0,1
576339,22488,NATURAL SLATE RECTANGLE CHALKBOARD,2,3.29,6.58,14096,UNITED KINGDOM,11,0,0
554310,47367B,PAIR PADDED HANGERS PINK CHECK,2,3.29,6.58,SIN_CLIENTE,UNITED KINGDOM,5,0,0
559027,23204,CHARLOTTE BAG APPLES DESIGN,10,0.85,8.5,17046,UNITED KINGDOM,7,1,0
572528,22692,DOORMAT WELCOME TO OUR HOME,1,8.25,8.25,13176,UNITED KINGDOM,10,0,0
562964,23228,FILIGREE HEART BIRD WHITE,24,1.25,30.0,13488,UNITED KINGDOM,8,3,1
540418,22184,CAKE STAND VICTORIAN FILIGREE LARGE,1,8.47,8.47,SIN_CLIENTE,UNITED KINGDOM,1,4,0
552232,21967,PACK OF 12 SKULL TISSUES,2,0.83,1.66,SIN_CLIENTE,UNITED KINGDOM,5,4,0
559322,85099B,JUMBO BAG RED RETROSPOT,300,1.79,537.0,15769,UNITED KINGDOM,7,3,1
538722,21754,HOME BUILDING BLOCK WORD,6,5.95,35.7,17975,UNITED KINGDOM,12,1,1
555340,84692,BOX OF 24 COCKTAIL PARASOLS,15,0.42,6.3,13334,UNITED KINGDOM,6,3,0
544667,22197,SMALL POPCORN HOLDER,100,0.72,72.0,17511,UNITED KINGDOM,2,1,1
548670,21937,STRAWBERRY PICNIC BAG,2,2.95,5.9,15356,UNITED KINGDOM,4,4,0
578344,22905,CALENDAR IN SEASON DESIGN,1,2.46,2.46,SIN_CLIENTE,UNITED KINGDOM,11,3,0
537638,21314,SMALL GLASS HEART TRINKET POT,7,4.21,29.47,SIN_CLIENTE,UNITED KINGDOM,12,1,1
559322,22386,JUMBO BAG PINK POLKADOT,200,1.79,358.0,15769,UNITED KINGDOM,7,3,1
575739,84692,BOX OF 24 COCKTAIL PARASOLS,2,0.83,1.66,SIN_CLIENTE,UNITED KINGDOM,11,4,0
564042,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,1.65,19.799999999999997,15443,UNITED KINGDOM,8,0,1
556531,23053,RECYCLED ACAPULCO MAT PINK,2,8.25,16.5,15491,UNITED KINGDOM,6,0,1
575930,22814,CARD PARTY GAMES,1,0.42,0.42,SIN_CLIENTE,UNITED KINGDOM,11,4,0
578662,22138,BAKING SET 9 PIECE RETROSPOT,2,4.95,9.9,17516,UNITED KINGDOM,11,3,1
581150,22786,CUSHION COVER PINK UNION JACK,2,1.25,2.5,17266,UNITED KINGDOM,12,2,0
558437,20675,BLUE POLKADOT BOWL,4,1.25,5.0,17799,UNITED KINGDOM,6,2,0
547651,22291,HANGING CHICK CREAM DECORATION,1,1.45,1.45,16904,UNITED KINGDOM,3,3,0
542109,22694,WICKER STAR,1,3.29,3.29,SIN_CLIENTE,UNITED KINGDOM,1,1,0
559989,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,1.45,17.4,13319,UNITED KINGDOM,7,3,1
580730,20828,GLITTER BUTTERFLY CLIPS,4,4.96,19.84,SIN_CLIENTE,UNITED KINGDOM,12,0,1
559521,22759,SET OF 3 NOTEBOOKS IN PARCEL,8,1.65,13.2,SIN_CLIENTE,UNSPECIFIED,7,4,1
554376,23203,JUMBO BAG DOILEY PATTERNS,8,2.08,16.64,15719,UNITED KINGDOM,5,1,1
550638,85093,CANDY SPOT EGG WARMER HARE,2,0.83,1.66,SIN_CLIENTE,UNITED KINGDOM,4,1,0
556539,22607,WOODEN ROUNDERS GARDEN SET,2,9.95,19.9,13589,UNITED KINGDOM,6,0,1
566952,21915,RED HARMONICA IN BOX,11,1.25,13.75,SIN_CLIENTE,UNITED KINGDOM,9,3,1
561815,23298,SPOTTY BUNTING,6,4.95,29.700000000000003,14083,UNITED KINGDOM,7,4,1
577093,23254,CHILDRENS CUTLERY DOLLY GIRL,4,4.15,16.6,13089,UNITED KINGDOM,11,3,1
578325,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,1.45,1.45,16343,UNITED KINGDOM,11,2,0
562129,21484,CHICK GREY HOT WATER BOTTLE,4,3.45,13.8,13186,UNITED KINGDOM,8,2,1
577157,22333,RETROSPOT PARTY BAG STICKER SET,16,1.65,26.4,12451,SWITZERLAND,11,4,1
555525,23203,JUMBO BAG DOILEY PATTERNS,20,2.08,41.6,14709,UNITED KINGDOM,6,6,1
564139,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2.55,22.95,16904,UNITED KINGDOM,8,1,1
579268,23695,DOILY THANK YOU CARD,12,0.42,5.04,14321,UNITED KINGDOM,11,1,0
537240,90200D,PINK SWEETHEART BRACELET,2,4.24,8.48,SIN_CLIENTE,UNITED KINGDOM,12,0,0
577774,22659,LUNCH BOX I LOVE LONDON,2,1.95,3.9,16712,UNITED KINGDOM,11,0,0
548737,20749,ASSORTED COLOUR MINI CASES,4,7.95,31.8,12682,FRANCE,4,0,1
559367,20752,BLUE POLKADOT WASHING UP GLOVES,6,2.1,12.600000000000001,13013,UNITED KINGDOM,7,4,1
572752,22113,GREY HEART HOT WATER BOTTLE,4,4.25,17.0,17449,UNITED KINGDOM,10,1,1
575216,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,2.95,17.700000000000003,13384,UNITED KINGDOM,11,2,1
577554,21429,RED GINGHAM ROSE JEWELLERY BOX,2,1.95,3.9,15533,UNITED KINGDOM,11,6,0
566757,46776A,WOVEN BUBBLE GUM CUSHION COVER,7,4.13,28.91,SIN_CLIENTE,UNITED KINGDOM,9,2,1
576592,21533,RETROSPOT LARGE MILK JUG,1,4.95,4.95,13614,UNITED KINGDOM,11,1,0
545217,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,1.25,1.25,SIN_CLIENTE,UNITED KINGDOM,2,0,0
538866,22147,FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,17841,UNITED KINGDOM,12,1,0
578233,23524,WALL ART HORSE PONY,1,3.75,3.75,14049,UNITED KINGDOM,11,2,0
567183,21802,CHRISTMAS TREE HEART DECORATION,36,0.42,15.12,14769,UNITED KINGDOM,9,6,1
580677,23597,PAPER BUNTING PAISLEY PARK,4,2.95,11.8,16200,UNITED KINGDOM,12,0,1
580727,22348,TEA BAG PLATE RED RETROSPOT,4,1.63,6.52,14096,UNITED KINGDOM,12,0,0
579954,23353,6 GIFT TAGS VINTAGE CHRISTMAS,24,0.83,19.919999999999998,16701,UNITED KINGDOM,12,3,1
558321,21786,POLKADOT RAIN HAT,1,0.79,0.79,SIN_CLIENTE,UNITED KINGDOM,6,1,0
569246,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1,2.46,2.46,14096,UNITED KINGDOM,10,0,0
581579,23480,MINI LIGHTS WOODLAND MUSHROOMS,8,3.75,30.0,17581,UNITED KINGDOM,12,4,1
569136,23242,TREASURE TIN BUFFALO BILL,2,2.08,4.16,15834,UNITED KINGDOM,9,4,0
559052,23200,JUMBO BAG PEARS,9,2.08,18.72,SIN_CLIENTE,UNITED KINGDOM,7,1,1
571475,84341B,SMALL PINK MAGIC CHRISTMAS TREE,2,0.38,0.76,15033,UNITED KINGDOM,10,0,0
554015,23298,SPOTTY BUNTING,3,4.95,14.850000000000001,17644,UNITED KINGDOM,5,4,1
566539,23388,WOODLAND MINI BACKPACK,2,4.15,8.3,17228,UNITED KINGDOM,9,1,0
548011,22667,RECIPE BOX RETROSPOT,48,2.55,122.39999999999999,14646,NETHERLANDS,3,1,1
571270,23313,VINTAGE CHRISTMAS BUNTING,2,4.95,9.9,12940,UNITED KINGDOM,10,6,1
551997,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,6.63,6.63,SIN_CLIENTE,UNITED KINGDOM,5,3,0
564757,22978,PANTRY ROLLING PIN,3,7.46,22.38,SIN_CLIENTE,UNITED KINGDOM,8,1,1
572213,22956,36 FOIL HEART CAKE CASES,6,2.1,12.600000000000001,15358,UNITED KINGDOM,10,4,1
541219,20832,RED FLOCK LOVE HEART PHOTO FRAME,3,0.79,2.37,SIN_CLIENTE,UNITED KINGDOM,1,4,0
556107,21932,SCANDINAVIAN PAISLEY PICNIC BAG,1,1.65,1.65,17360,UNITED KINGDOM,6,2,0
562369,23270,SET OF 2 CERAMIC PAINTED HEARTS,10,1.45,14.5,17584,UNITED KINGDOM,8,3,1
571461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,16932,UNITED KINGDOM,10,0,0
545056,21212,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13.200000000000001,16745,UNITED KINGDOM,2,6,1
540977,22198,LARGE POPCORN HOLDER,1,3.36,3.36,SIN_CLIENTE,UNITED KINGDOM,1,2,0
536381,71270,PHOTO CLIP LINE,1,1.25,1.25,15311,UNITED KINGDOM,12,2,0
578347,22727,ALARM CLOCK BAKELIKE RED,1,7.46,7.46,SIN_CLIENTE,UNITED KINGDOM,11,3,0
577078,20777,CHRYSANTHEMUM NOTEBOOK,1,1.63,1.63,SIN_CLIENTE,UNITED KINGDOM,11,3,0
550323,22149,FELTCRAFT 6 FLOWER FRIENDS,12,2.1,25.200000000000003,13692,UNITED KINGDOM,4,6,1
579297,21814,HEART T-LIGHT HOLDER,1,2.92,2.92,SIN_CLIENTE,UNITED KINGDOM,11,1,0
548737,22077,6 RIBBONS RUSTIC CHARM,12,1.65,19.799999999999997,12682,FRANCE,4,0,1
550297,21398,RED POLKADOT COFFEE MUG,6,0.39,2.34,14056,UNITED KINGDOM,4,4,0
541949,21114,LAVENDER SCENTED FABRIC HEART,10,1.25,12.5,18136,UNITED KINGDOM,1,0,1
571797,21080,SET 20 RED RETROSPOT PAPER NAPKINS,1,2.46,2.46,SIN_CLIENTE,UNITED KINGDOM,10,2,0
540848,35648,VINTAGE BEAD PINK PURSE,5,1.66,8.299999999999999,SIN_CLIENTE,UNITED KINGDOM,1,2,0
567186,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,0.95,11.399999999999999,17073,UNITED KINGDOM,9,6,1
549153,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,2.55,15.299999999999999,13771,UNITED KINGDOM,4,2,1
545474,82494L,WOODEN FRAME ANTIQUE WHITE,6,2.95,17.700000000000003,16709,UNITED KINGDOM,3,3,1
574097,23256,CHILDRENS CUTLERY SPACEBOY,4,4.15,16.6,12471,GERMANY,11,3,1
552671,20711,JUMBO BAG TOYS,1,4.13,4.13,SIN_CLIENTE,UNITED KINGDOM,5,1,0
575892,21617,4 LILY BOTANICAL DINNER CANDLES,4,1.25,5.0,16332,UNITED KINGDOM,11,4,0
562432,22557,PLASTERS IN TIN VINTAGE PAISLEY,24,1.65,39.599999999999994,14004,UNITED KINGDOM,8,3,1
568699,22634,CHILDS BREAKFAST SET SPACEBOY,2,9.95,19.9,12352,NORWAY,9,2,1
547491,22822,CREAM WALL PLANTER HEART SHAPED,2,5.95,11.9,17096,UNITED KINGDOM,3,2,1
581219,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,1,3.29,3.29,SIN_CLIENTE,UNITED KINGDOM,12,3,0
552520,22494,EMERGENCY FIRST AID TIN,1,2.46,2.46,SIN_CLIENTE,UNITED KINGDOM,5,0,0
574444,22614,PACK OF 12 SPACEBOY TISSUES,12,0.39,4.68,18122,UNITED KINGDOM,11,4,0
573492,21012,ANTIQUE ALL GLASS CANDLESTICK,2,2.1,4.2,13544,UNITED KINGDOM,10,0,0
554099,22188,BLACK HEART CARD HOLDER,4,3.95,15.8,16341,UNITED KINGDOM,5,6,1
551218,21868,POTTING SHED TEA MUG,6,1.25,7.5,18077,UNITED KINGDOM,4,2,0
567823,22902,TOTE BAG I LOVE LONDON,12,2.1,25.200000000000003,12910,UNITED KINGDOM,9,3,1
539434,22395,PAPERWEIGHT VINTAGE PAISLEY,1,5.06,5.06,SIN_CLIENTE,UNITED KINGDOM,12,4,0
541219,82600,NO SINGING METAL SIGN,1,4.13,4.13,SIN_CLIENTE,UNITED KINGDOM,1,4,0
559933,21735,TWO DOOR CURIO CABINET,1,12.75,12.75,16719,UNITED KINGDOM,7,3,1
574722,84879,ASSORTED COLOUR BIRD ORNAMENT,6,1.69,10.14,14502,UNITED KINGDOM,11,6,1
573311,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,0.83,0.83,14071,UNITED KINGDOM,10,4,0
545377,22425,ENAMEL COLANDER CREAM,1,4.95,4.95,14606,UNITED KINGDOM,3,2,0
548325,21833,CAMOUFLAGE LED TORCH,36,1.69,60.839999999999996,13509,UNITED KINGDOM,3,2,1
560393,22367,CHILDRENS APRON SPACEBOY DESIGN,8,1.95,15.6,14808,UNITED KINGDOM,7,0,1
572652,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,2.49,14.940000000000001,15805,UNITED KINGDOM,10,1,1
541592,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,4.13,8.26,SIN_CLIENTE,UNITED KINGDOM,1,2,0
581439,23506,MINI PLAYING CARDS SPACEBOY,1,0.83,0.83,SIN_CLIENTE,UNITED KINGDOM,12,3,0
556206,23240,SET OF 4 KNICK KNACK TINS DOILEY,6,4.15,24.900000000000002,14911,EIRE,6,3,1
557602,20726,LUNCH BAG WOODLAND,10,1.65,16.5,14110,UNITED KINGDOM,6,1,1
537434,20966,SANDWICH BATH SPONGE,5,2.51,12.549999999999999,SIN_CLIENTE,UNITED KINGDOM,12,0,1
574301,POST,POSTAGE,2,28.0,56.0,12544,SPAIN,11,3,1
565863,35648,VINTAGE BEAD PINK PURSE,24,0.83,19.919999999999998,17422,UNITED KINGDOM,9,2,1
554028,23298,SPOTTY BUNTING,12,4.95,59.400000000000006,15410,UNITED KINGDOM,5,4,1
578072,22215,CAKE STAND WHITE TWO TIER LACE,2,8.5,17.0,17759,UNITED KINGDOM,11,1,1
579196,15044D,RED PAPER PARASOL,1,5.79,5.79,14096,UNITED KINGDOM,11,0,0
550997,20728,LUNCH BAG CARS BLUE,10,1.65,16.5,17735,UNITED KINGDOM,4,1,1
569535,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,7.95,15.9,15044,UNITED KINGDOM,10,1,1
544672,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,96,1.06,101.76,14646,NETHERLANDS,2,1,1
559492,22139,RETROSPOT TEA SET CERAMIC 11 PC,1,10.79,10.79,SIN_CLIENTE,UNITED KINGDOM,7,4,1
574047,23280,FOLDING BUTTERFLY MIRROR HOT PINK,12,0.83,9.959999999999999,13318,UNITED KINGDOM,11,2,1
553751,22423,REGENCY CAKESTAND 3 TIER,2,12.75,25.5,15630,UNITED KINGDOM,5,3,1
577726,71101E,STANDING FAIRY POLE SUPPORT,12,0.85,10.2,15676,UNITED KINGDOM,11,0,1
542634,21136,PAINTED METAL PEARS ASSORTED,8,1.69,13.52,15448,UNITED KINGDOM,1,0,1
572651,22564,ALPHABET STENCIL CRAFT,12,1.25,15.0,17350,UNITED KINGDOM,10,1,1
541592,10002,INFLATABLE POLITICAL GLOBE,1,1.63,1.63,SIN_CLIENTE,UNITED KINGDOM,1,2,0
542543,22697,GREEN REGENCY TEACUP AND SAUCER,6,2.95,17.700000000000003,13141,UNITED KINGDOM,1,4,1
569700,46776F,WOVEN ROSE GARDEN CUSHION COVER,2,4.13,8.26,SIN_CLIENTE,UNITED KINGDOM,10,2,0
552045,22550,HOLIDAY FUN LUDO,4,3.75,15.0,18241,UNITED KINGDOM,5,4,1
570482,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,5,1.25,6.25,17459,UNITED KINGDOM,10,0,0
548005,82494L,WOODEN FRAME ANTIQUE WHITE,6,2.95,17.700000000000003,14128,UNITED KINGDOM,3,1,1
